price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;exploitation_start_year
2850000;44.075417;56.283864;43;14;11;1;9;17;2011
2600000;43.923782;56.310448;64;42;6;4;2;5;1974
2750000;44.064952;56.291499;50;30;9;2;3;5;1987
3700000;43.996545;56.317807;45;37;6.5;2;2;8;1969
4760000;43.943589;56.295;105;64;10;4;8;9;1975
2960000;43.957846;56.3332;39;19;9;1;9;9;2008
3400000;44.073001;56.283864;44;17;9;1;7;17;2010
4000000;44.019955;56.321626;64;44;7.5;3;5;9;1969
2500000;44.058098;56.299376;45.3;27.7;7;2;8;9;1982
1600000;43.85906684;56.2510219;30;14;7;1;6;9;1984
2800000;43.934301;56.288401;44;35;5;2;4;5;1962
2400000;43.795619;56.379312;44;27.7;7.1;2;2;9;1984
1950000;43.954845;56.229842;30;18;5.5;1;6;9;1979
1540000;44.0025672;56.31897431;54;36;12;2;3;5;1917
2400000;43.934085;56.285358;32;17;8;1;2;9;1979
2190000;43.813998;56.357544;43;25;6;2;4;5;1974
3460000;44.041802;56.303526;58;42;6;4;5;5;1969
1600000;43.93236;56.271426;34;18;6;1;4;4;1963
3050000;43.934696;56.323403;61;45;7.2;3;2;9;1970
2100000;43.870485;56.236796;41;25;6;2;5;5;1966
2999000;43.860989;56.29033;62;45;9;4;1;5;1967
2800000;43.845278;56.236651;40;21;10;1;8;17;2010
3900000;43.866774;56.340171;86;62;9;4;5;5;1962
2150000;43.828758;56.238342;31;16;7;1;8;10;2012
3400000;43.928219;56.332411;67.2;38.4;9.5;3;2;10;1989
3600000;43.962041;56.23511;58.8;37.8;8.7;3;3;9;1974
1950000;43.839286;56.336403;33;17;6;1;3;9;1973
2700000;43.866792;56.232133;57;42;6;3;5;5;1965
3700000;44.00401;56.310013;44;28;6;2;2;9;1973
3250000;44.075103;56.286033;49;25;10;2;10;19;1991
1880000;43.804045;56.366754;42.5;16.6;11;1;12;12;2001
3300000;44.066739;56.302468;44.5;19.3;9.5;1;4;10;2006
2750000;44.044955;56.304765;37;18.7;10.7;1;8;12;1985
3350000;43.939655;56.324326;53;0;0;2;3;9;1982
2650000;44.080331;56.2827;33;13;8;1;15;19;2006
3250000;43.928659;56.33036;64;37.8;9.3;3;4;10;1989
3200000;43.867;56.331734;44;27;7.5;2;8;10;1989
3250000;43.915814;56.338714;46;18;14;1;3;10;2010
2500000;43.872919;56.29529;52;35;6;3;2;5;1967
2400000;43.943661;56.309194;40;26;6.5;2;3;4;1960
3600000;43.989817;56.321077;70;48;11;3;2;2;1917
2300000;43.87344;56.313224;41;0;0;2;3;9;1995
2960000;43.957846;56.3332;39;19;9;1;9;9;2008
1650000;43.881983;56.301728;35.5;17;9;1;3;10;1991
2400000;43.943661;56.309194;40;26;6.5;2;3;4;1960
3800000;43.956552;56.334567;54;32;9;2;7;9;1990
3250000;43.915814;56.338714;46;18;14;1;3;10;2010
3250000;43.855851;56.264167;60;44;7;3;5;9;1979
2649000;43.928336;56.273035;50;35;5.6;3;1;5;1972
2750000;43.853929;56.260388;48;27;7;2;5;9;1978
2050000;43.858726;56.232113;45;30;5.5;2;4;5;1964
3100000;43.948791;56.281476;50;27;8.1;2;7;9;1982
2200000;43.859283;56.29039;46.5;31;7.5;2;4;5;1977
1980000;43.87088;56.344591;33;18;5.2;1;1;5;1963
3300000;43.934597;56.298457;62;43;9;3;1;3;1943
2790000;43.941577;56.314702;51.1;34.5;6;3;5;5;1971
3620000;0;0;63;44;6;4;5;5;1970
3499000;43.934597;56.298457;63;43;9;3;1;5;1943
1660000;43.856444;56.299861;36.4;22.7;5;2;2;2;1958
3520000;43.840687;56.305764;79;45;11;3;1;14;1997
5000000;0;0;63;33;12;2;8;16;2011
2800000;43.961762;56.233509;52.9;36.7;7.1;3;1;9;1977
2100000;43.847119;56.305199;58;43;6;3;1;5;1974
1760000;43.878354;56.270376;28;15;6.5;1;7;9;1985
3600000;43.804961;56.367936;87.2;53.9;7.8;4;9;9;1989
2450000;43.960352;56.231518;39;22;6.5;2;2;9;1979
3350000;43.931974;56.343952;43;16;9;1;5;12;1994
4500000;44.030654;56.325714;70;46;12;3;4;5;1939
2030000;43.925345;56.338953;33;17.5;8.5;1;5;9;1983
2700000;43.816388;56.361285;58;40;7;3;5;9;1973
4500000;44.030654;56.325714;70;46;12;3;4;5;1939
2950000;43.974357;56.260908;44.9;27.8;5.9;2;4;9;1968
2850000;43.947111;56.226649;50;29.7;8.7;2;1;9;
1550000;43.911807;56.327291;31;17;6;1;1;5;1959
2750000;44.041802;56.303526;50;34;6;2;3;5;1969
2070000;43.933816;56.295105;30;18;6;1;5;5;1964
4100000;43.927114;56.340784;63.4;44.4;7.2;3;1;9;1980
2500000;0;0;44;30;6;2;1;5;1969
1900000;43.941362;56.315231;35;18;7;1;5;9;1978
4990000;43.850479;56.250917;80;55;9;4;1;9;1984
2500000;43.871419;56.265302;52;35.5;6;3;4;5;1973
2400000;43.847272;56.359425;55;35;6;3;4;5;1963
2949999;43.833447;56.242824;66;48;7.2;3;3;3;1950
3950000;43.944434;56.282835;70.5;43;9.5;3;9;9;1978
4500000;44.007289;56.317462;60;40;7;3;5;9;1970
4500000;44.007289;56.317462;60;40;7;3;5;9;1970
3700000;44.003848;56.309858;44;28;6;2;2;9;1973
1750000;43.952384;56.229321;30;18;5.4;1;8;9;1974
2400000;43.901611;56.263737;45;27;6.5;2;1;9;1976
1800000;43.85639;56.288786;53.4;30.3;7;2;1;3;1957
3550000;43.840687;56.305764;62;30;10;2;10;14;1997
2600000;43.932774;56.288721;58;40;6;3;5;5;1964
2500000;44.0409106;56.30373476;46;30;6;2;5;5;1969
3200000;43.935756;56.306198;52.8;36.2;8.5;2;3;4;1932
3450000;43.933025;56.348387;41;22;10;1;2;16;2009
3450000;43.871796;56.323642;62.8;43.8;7.1;3;6;9;1978
2650000;43.862274;56.2283;46;0;0;2;9;9;1976
2130000;44.08458488;56.27689825;36;15.2;8.5;1;12;19;2004
1900000;43.927213;56.283315;31;0;0;1;4;5;1962
4650000;44.044955;56.304765;83;45;21;3;6;16;1985
5200000;43.860307;56.258518;72;0;0;3;6;9;1972
1250000;43.855555;56.230477;25;16;5;1;1;2;1958
3550000;43.911457;56.26549;60;33;10;2;3;5;1960
1350000;43.81628;56.361953;21;12;5;1;1;9;1974
2880000;43.855635;56.349155;52.5;29.8;9.1;2;9;10;1990
5200000;44.073001;56.283864;73;35;11;2;10;17;2010
4600000;43.875874;56.261508;79.4;55.8;9.1;4;3;9;1973
2650000;43.85816;56.229466;59.3;42.9;6;4;4;5;1969
2550000;43.840687;56.305764;57;30;9;2;1;14;1997
4350000;44.04508375;56.30470536;74;31;24;2;9;16;1985
2300000;43.819442;56.367747;38.2;0;0;2;5;5;1972
3250000;43.927671;56.343568;64.1;44.4;7;3;7;9;1981
1700000;43.801979;56.309214;46;26;6;2;3;3;1959
4500000;44.02407;56.320323;67;49;7;3;4;9;1971
2870000;43.880213;56.228416;56;40;9;3;4;9;1977
5500000;43.852581;56.256203;92;0;9;4;1;9;1982
2400000;43.901611;56.263737;45;27;6.5;2;1;9;1976
2540000;43.936187;56.322584;44;27.3;7;2;9;9;1970
3950000;43.991604;56.276029;69;0;0;3;3;9;1984
2600000;43.867817;56.348173;36;21.5;7;2;9;9;1964
4000000;43.862049;56.238464;75;58;13;3;2;9;1977
4200000;43.98855;56.275544;54;33;9;2;3;3;1964
2200000;43.983394;56.284994;32.1;18.4;5.9;1;4;4;1960
4800000;43.81938783;56.22658365;98;60;8.5;4;10;10;1999
1750000;43.952384;56.229321;28;18;5;1;8;9;1974
1950000;44.024662;56.294846;38;29;4.5;3;2;2;1958
2250000;44.028687;56.293677;41.7;27.4;5.4;2;5;5;1974
1350000;43.928875;56.299766;25;14.3;7.8;1;2;2;1950
2800000;44.045153;56.302423;58.8;45.7;5.5;3;1;5;1968
3850000;43.981624;56.283355;62;46;7;3;3;9;1968
2250000;43.953857;56.329702;29.9;20.2;4.9;2;4;5;1960
2800000;43.958609;56.231818;40.6;0;0;2;2;5;1971
3500000;43.983798;56.256758;50;30;8;2;9;9;1983
5160000;44.080196;56.284609;69.2;37.2;13;2;4;5;2000
3200000;43.818364;56.363354;84.9;56.2;9.1;4;1;9;1978
3600000;44.045656;56.282825;54.9;29.3;8;2;11;12;1982
3150000;43.866882;56.258373;62;47.5;6.5;3;4;5;1971
2050000;43.818167;56.367288;49.7;34.7;5.9;2;1;5;1972
2400000;43.993814;56.286198;43.9;28;5.9;2;1;5;1965
3800000;43.850308;56.256413;64;38;9;3;9;9;1982
1650000;43.9091092;56.27457706;30.3;18.3;5.8;1;5;5;1964
3700000;44.003848;56.309858;44;28;6;2;2;9;1973
3200000;43.880689;56.259333;56;38;7;3;8;9;1972
1750000;43.952384;56.229321;30;18;5;1;8;9;1974
3800000;43.946608;56.332915;60.1;44.2;7;3;9;9;1978
2650000;43.929064;56.336024;43.7;29;7.8;2;2;9;1979
2630000;43.861789;56.312205;51;28;8;2;2;3;1989
2290000;43.880258;56.227245;33;17;10;1;9;9;1978
4150000;44.029172;56.296579;60;0;0;3;2;9;1981
1270000;43.87123;56.269506;22;12;4;1;4;9;1983
5600000;43.857243;56.258473;80;44;9;2;9;14;2010
1950000;43.841155;56.336773;32.2;18.4;5.1;1;3;5;1962
2400000;43.942269;56.291254;40.1;21.3;9.2;1;6;9;1986
3300000;44.005986;56.326887;43.7;27.6;7.5;2;9;9;1976
3100000;43.938038;56.302632;56.5;40;15.2;3;8;9;1972
1800000;43.848206;56.292543;54.7;32;7.5;2;1;2;1959
3450000;43.948728;56.274784;67;39;9;3;9;10;1994
3780000;43.945853;56.22784;67;37.6;9.3;3;9;9;1985
5900000;43.982208;56.321646;92.1;56;16;4;2;5;1964
2800000;43.869586;56.237237;49;0;0;2;9;9;1968
2955000;43.962023;56.331538;46;28;7;2;6;10;1975
3050000;43.85833;56.223137;47;35;6;2;1;5;1973
3850000;44.051405;56.313388;51;29.7;9.5;2;4;9;1984
1850000;43.860145;56.233839;31;0;5.7;1;5;5;1963
3350000;43.935774;56.327081;66;0;0;3;5;9;1984
2100000;43.897093;56.312809;40;24;8;2;4;5;1989
1300000;43.833347;56.231361;23;0;5;1;1;2;1959
4500000;43.993051;56.296794;73;47.4;8.2;4;9;12;1976
1370000;43.942449;56.312255;31;18;7;1;1;3;1955
2850000;44.060155;56.299341;46;28;7.5;2;1;9;1982
1330000;43.885127;56.305124;34;24;5;1;1;2;1957
1750000;43.943706;56.318501;37;0;10;1;4;4;1937
2050000;43.828542;56.237462;31;0;6;1;5;10;2012
2850000;44.060155;56.299341;45.7;0;7.1;2;4;9;1982
3600000;43.847676;56.243515;58;0;10;2;2;7;1938
2500000;43.806003;56.344137;54;0;8.9;2;8;9;1993
1850000;43.80557335;56.37197388;43;17;11;1;3;9;1986
5800000;44.014134;56.317253;54;42;7;3;3;5;1959
3900000;44.018482;56.308925;36;19.1;8.5;1;7;10;1987
2100000;43.8821;56.310702;31;18;6;1;3;5;1965
2250000;43.839026;56.328848;46;29;6;2;5;5;1966
4000000;44.027088;56.30898;48;0;0;2;2;9;1979
4200000;43.927114;56.340784;60;42;7;3;1;9;1980
3030000;43.861152;56.231043;58;0;0;3;1;5;1962
1340000;44.075238;56.295295;19.5;10;5;1;10;19;2004
1500000;43.804476;56.346043;33;18.5;7;1;5;5;1989
2250000;43.925255;56.311586;65.9;40.8;6;3;5;5;1967
1700000;43.878129;56.317422;28;13;8;1;6;9;1987
1630000;43.82732;56.237687;17.5;11;4;1;2;10;2012
2250000;43.924428;56.310682;66;41;6;3;5;5;1972
2550000;43.822137;56.360945;47;32;7.5;2;9;9;1976
2370000;43.845368;56.358627;44;28;7;2;6;9;1989
3500000;43.861735;56.354941;63;44;7.5;3;3;9;1976
3350000;43.936915;56.303072;58;38;9;3;3;9;1977
2800000;43.940329;56.322699;58;38;7.5;3;8;9;1969
2650000;43.932432;56.322295;60;37;9.8;3;9;9;1973
2100000;43.884723;56.312824;45;34;5;2;1;5;1967
5490000;43.850479;56.250917;79.7;54;11;4;1;9;1984
2800000;44.033457;56.317053;36;0;0;1;8;9;1988
4050000;43.939053;56.29415;80;56.2;9.2;4;7;9;1974
2930000;43.852896;56.360427;46;28;8;2;9;9;1987
2500000;43.871688;56.296254;46;32;5;2;3;5;1968
1990000;43.99472;56.28913;39.6;28;6.2;2;1;3;1958
1750000;43.948791;56.279802;32.7;25;6;1;5;5;1965
2490000;43.954989;56.329906;40;27;6;2;3;5;1960
1550000;44.033466;56.310947;19;14;1;1;3;5;1969
2870000;43.98413;56.296249;48.3;27.5;7.4;2;3;5;1958
3350000;43.936969;56.345369;56.2;32.1;9;2;3;9;1988
1500000;44.008439;56.294446;28;16;5.5;1;2;2;1959
2888000;43.951423;56.281236;64;40;7.5;3;9;9;1976
6200000;43.938864;56.343743;94;55;13;3;5;12;1991
7000000;44.022605;56.310183;70;64;6;3;2;14;1987
2700000;43.877033;56.232629;57;37;6.1;3;5;5;1967
1650000;43.837579;56.241374;36.4;26.6;4.4;2;1;2;1958
1150000;43.911547;56.30054;32.9;21.8;5;1;1;2;1960
2800000;43.922012;56.277093;57;42;6;4;1;5;1972
3200000;43.873314;56.331069;46;0;0;1;4;10;2007
3500000;43.84605;56.256308;52;30;8.5;2;7;10;1986
1800000;43.876575;56.330221;30;19;6;1;4;5;1963
1520000;43.935837;56.31441;31;17;6;1;6;6;1971
2500000;43.928489;56.281726;42.4;31.4;6;3;2;5;1963
1900000;43.856094;56.332935;29;17.2;5.9;1;2;5;1976
4950000;43.991784;56.325379;74;52;11;4;1;2;1917
700000;43.85091;56.329008;14;0;0;1;4;5;1955
3700000;43.873683;56.257858;68;0;0;3;2;5;1971
2300000;43.919488;56.289805;44;28;6;2;2;5;1966
3550000;44.075238;56.295295;48;15;11;1;15;19;2004
6200000;44.065069;56.285079;72.5;40;11;2;7;16;2002
8100000;44.065069;56.285079;93.5;50;16;3;8;16;2002
3000000;43.955869;56.328858;38;26.3;4;2;3;5;1961
8100000;44.065069;56.285079;93.5;70;16;3;10;16;2002
6200000;44.065069;56.285079;71.5;40;11;2;9;16;2002
3800000;43.951423;56.281236;62.8;37.8;3.8;3;7;9;1976
2550000;43.844649;56.246416;61.2;45.5;5.4;3;1;5;1967
2490000;0;0;64.8;46.7;7;3;3;3;1951
2000000;43.831138;56.341583;45;28;7;2;1;9;1974
2350000;43.9609;56.330216;31;19.2;5.8;1;4;5;1963
2300000;43.955169;56.328499;29.9;16.5;6.5;1;11;12;1973
2900000;43.820655;56.364501;58;38;9.2;3;4;9;1975
2500000;43.91774649;56.28032492;45;0;0;2;4;5;1966
3380000;43.938918;56.327291;60;37;8;3;5;5;1994
1800000;43.841199;56.291833;29;0;0;1;8;9;1979
3960000;43.936448;56.297633;82;0;0;3;5;5;1958
