price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
2850000.0;44.075417;56.283864;43.0;14.0;11.0;1;9;17;66279.06976744186
8200000.0;43.942485;56.301539;98.5;52.0;14.0;3;3;17;83248.730964467
2600000.0;43.923782;56.310448;64.0;42.0;6.0;4;2;5;40625.0
2750000.0;44.064952;56.291499;50.0;30.0;9.0;2;3;5;55000.0
2650000.0;43.957127;56.329128;45.0;31.0;6.0;2;2;5;58888.88888888889
3700000.0;43.996545;56.317807;45.0;37.0;6.5;2;2;8;82222.22222222222
3550000.0;44.0791;56.303541;41.8;18.6;11.3;1;9;9;84928.22966507178
4760000.0;43.943589;56.295;105.0;64.0;10.0;4;8;9;45333.333333333336
2960000.0;43.957846;56.3332;39.0;19.0;9.0;1;9;9;75897.43589743589
6600000.0;43.951441;56.340026;94.0;50.0;16.0;3;3;17;70212.76595744681
2750000.0;43.868886;56.223651;57.6;39.9;7.0;3;3;9;47743.055555555555
2900000.0;44.011574;56.314237;48.0;34.0;6.0;2;3;9;60416.666666666664
1850000.0;43.808842;56.200508;47.0;28.0;6.0;2;1;5;39361.70212765958
4000000.0;44.019955;56.321626;64.0;44.0;7.5;3;5;9;62500.0
2790000.0;44.09872;56.208965;78.1;47.9;11.0;3;1;5;35723.431498079386
2500000.0;44.058098;56.299376;45.3;27.7;7.0;2;8;9;55187.637969094925
1600000.0;43.85906684;56.2510219;30.0;14.0;7.0;1;6;9;53333.333333333336
2800000.0;43.934301;56.288401;44.0;35.0;5.0;2;4;5;63636.36363636364
1650000.0;43.833133;56.337456;29.3;17.0;5.0;1;2;9;56313.993174061434
1950000.0;43.954845;56.229842;30.0;18.0;5.5;1;6;9;65000.0
6650100.0;43.98561991;56.31590124;82.1;33.8;12.1;2;4;8;81000.0
2500000.0;43.981678;56.283929;41.0;27.0;6.0;2;4;5;60975.60975609756
4100000.0;43.823988;56.24561;80.0;37.0;8.0;3;2;9;51250.0
2600000.0;43.939107;56.285523;48.0;30.0;7.5;2;5;9;54166.666666666664
2190000.0;43.813998;56.357544;43.0;25.0;6.0;2;4;5;50930.232558139534
3460000.0;44.041802;56.303526;58.0;42.0;6.0;4;5;5;59655.1724137931
2950000.0;43.842969;56.237177;43.0;22.0;10.0;1;5;17;68604.6511627907
1550000.0;43.83404;56.233349;30.0;18.0;6.0;1;4;5;51666.666666666664
3350000.0;43.99931189;56.30686313;47.0;16.0;14.0;1;18;22;71276.59574468085
1600000.0;43.93236;56.271426;34.0;18.0;6.0;1;4;4;47058.82352941176
3050000.0;43.934696;56.323403;61.0;45.0;7.2;3;2;9;50000.0
2100000.0;43.870485;56.236796;41.0;25.0;6.0;2;5;5;51219.51219512195
2999000.0;43.860989;56.29033;62.0;45.0;9.0;4;1;5;48370.967741935485
2800000.0;43.845278;56.236651;40.0;21.0;10.0;1;8;17;70000.0
3900000.0;43.866774;56.340171;86.0;62.0;9.0;4;5;5;45348.83720930233
2150000.0;43.828758;56.238342;31.0;16.0;7.0;1;8;10;69354.83870967742
3400000.0;43.928219;56.332411;67.2;38.4;9.5;3;2;10;50595.23809523809
3600000.0;43.962041;56.23511;58.8;37.8;8.7;3;3;9;61224.48979591837
2400000.0;43.860711;56.256238;46.0;32.0;6.5;2;4;5;52173.913043478264
3840650.0;43.94530964;56.30752544;55.5;31.5;7.8;2;10;24;69200.9009009009
1950000.0;43.839286;56.336403;33.0;17.0;6.0;1;3;9;59090.90909090909
3400000.0;44.02906405;56.31280582;59.21;20.8;12.22;1;18;18;57422.73264651241
2700000.0;43.866792;56.232133;57.0;42.0;6.0;3;5;5;47368.42105263158
2390000.0;43.924042;56.303591;58.0;32.0;9.0;2;2;19;41206.89655172414
2900000.0;43.880195;56.301219;61.3;46.0;7.5;3;7;10;47308.31973898858
3700000.0;44.00401;56.310013;44.0;28.0;6.0;2;2;9;84090.90909090909
4400000.0;43.945575;56.232794;70.0;43.0;9.5;3;5;9;62857.142857142855
3250000.0;44.075103;56.286033;49.0;25.0;10.0;2;10;19;66326.5306122449
4341930.0;43.94623626;56.30902238;71.0;40.2;9.9;3;4;24;61153.94366197183
1880000.0;43.804045;56.366754;42.5;16.6;11.0;1;12;12;44235.294117647056
4790000.0;44.040778;56.287167;57.8;33.2;10.8;2;17;18;82871.9723183391
2750000.0;44.070548;56.283884;39.1;17.3;8.1;1;3;17;70332.48081841432
1700000.0;44.005986;56.326887;31.2;14.5;8.2;1;1;3;54487.17948717949
3300000.0;44.066739;56.302468;44.5;19.3;9.5;1;4;10;74157.30337078651
2750000.0;44.044955;56.304765;37.0;18.7;10.7;1;8;12;74324.32432432432
3046400.0;43.80145294;56.36201185;53.1;31.4;8.9;2;13;17;57370.99811676083
1650000.0;43.850587;56.328564;35.0;18.0;9.0;1;1;5;47142.857142857145
2900000.0;44.082235;56.282016;43.0;18.0;10.0;1;5;5;67441.86046511628
4400000.0;43.9435;56.303421;84.0;54.0;14.0;3;1;5;52380.95238095238
3200000.0;43.867;56.331734;44.0;27.0;7.5;2;8;10;72727.27272727272
2630000.0;44.05870458;56.29337574;40.79;18.04;9.49;1;21;25;64476.587398872274
3250000.0;43.915814;56.338714;46.0;18.0;14.0;1;3;10;70652.17391304347
2850000.0;43.976737;56.313344;39.0;28.0;6.0;2;1;3;73076.92307692308
2500000.0;43.872919;56.29529;52.0;35.0;6.0;3;2;5;48076.92307692308
3600000.0;43.989817;56.321077;70.0;48.0;11.0;3;2;2;51428.57142857143
1650000.0;43.881983;56.301728;35.5;17.0;9.0;1;3;10;46478.873239436616
8600000.0;43.943823;56.344062;114.0;78.0;12.0;5;3;12;75438.59649122808
3800000.0;43.956552;56.334567;54.0;32.0;9.0;2;7;9;70370.37037037036
3250000.0;43.855851;56.264167;60.0;44.0;7.0;3;5;9;54166.666666666664
2050000.0;43.858726;56.232113;45.0;30.0;5.5;2;4;5;45555.555555555555
2200000.0;43.859283;56.29039;46.5;31.0;7.5;2;4;5;47311.82795698925
1980000.0;43.87088;56.344591;33.0;18.0;5.2;1;1;5;60000.0
3300000.0;43.934597;56.298457;62.0;43.0;9.0;3;1;3;53225.8064516129
2790000.0;43.941577;56.314702;51.1;34.5;6.0;3;5;5;54598.82583170254
3499000.0;43.934597;56.298457;63.0;43.0;9.0;3;1;5;55539.68253968254
1660000.0;43.856444;56.299861;36.4;22.7;5.0;2;2;2;45604.395604395606
2800000.0;44.013721;56.260353;43.4;19.2;10.3;1;3;17;64516.12903225807
3520000.0;43.840687;56.305764;79.0;45.0;11.0;3;1;14;44556.962025316454
2800000.0;43.961762;56.233509;52.9;36.7;7.1;3;1;9;52930.05671077505
1750000.0;43.966317;56.233469;36.5;15.0;10.0;1;4;15;47945.20547945205
1760000.0;43.878354;56.270376;28.0;15.0;6.5;1;7;9;62857.142857142855
3600000.0;43.804961;56.367936;87.2;53.9;7.8;4;9;9;41284.40366972477
2450000.0;43.960352;56.231518;39.0;22.0;6.5;2;2;9;62820.51282051282
2500000.0;43.980474;56.259183;33.0;18.0;9.0;1;6;10;75757.57575757576
