price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors
2850000.0;44.075417;56.283864;43.0;14.0;11.0;1;9;17
8200000.0;43.942485;56.301539;98.5;52.0;14.0;3;3;17
2600000.0;43.923782;56.310448;64.0;42.0;6.0;4;2;5
2750000.0;44.064952;56.291499;50.0;30.0;9.0;2;3;5
2650000.0;43.957127;56.329128;45.0;31.0;6.0;2;2;5
3700000.0;43.996545;56.317807;45.0;37.0;6.5;2;2;8
3550000.0;44.0791;56.303541;41.8;18.6;11.3;1;9;9
5300000.0;43.999587;56.307397;70.5;0.0;0.0;2;4;22
1900000.0;44.00135;56.31074;57.0;27.0;12.0;1;6;12
4300000.0;43.936053;56.277488;55.0;0.0;0.0;2;8;10
2800000.0;44.00135;56.31074;91.0;57.0;12.0;3;8;12
4760000.0;43.943589;56.295;105.0;64.0;10.0;4;8;9
2960000.0;43.957846;56.3332;39.0;19.0;9.0;1;9;9
6600000.0;43.951441;56.340026;94.0;50.0;16.0;3;3;17
3400000.0;44.073001;56.283864;44.0;17.0;9.0;1;7;17
2750000.0;43.868886;56.223651;57.6;39.9;7.0;3;3;9
2900000.0;44.011574;56.314237;48.0;34.0;6.0;2;3;9
6100000.0;44.065221;56.285203;72.0;0.0;0.0;2;4;16
3900000.0;43.86850745;56.22458052;52.5;31.0;8.5;2;9;10
1850000.0;43.808842;56.200508;47.0;28.0;6.0;2;1;5
4000000.0;44.019955;56.321626;64.0;44.0;7.5;3;5;9
2790000.0;44.09872;56.208965;78.1;47.9;11.0;3;1;5
1950000.0;43.92954;56.269386;32.7;0.0;0.0;1;1;9
2500000.0;44.058098;56.299376;45.3;27.7;7.0;2;8;9
1600000.0;43.85906684;56.2510219;30.0;14.0;7.0;1;6;9
2800000.0;43.934301;56.288401;44.0;35.0;5.0;2;4;5
1650000.0;43.833133;56.337456;29.3;17.0;5.0;1;2;9
1950000.0;43.954845;56.229842;30.0;18.0;5.5;1;6;9
6650100.0;43.98561991;56.31590124;82.1;33.8;12.1;2;4;8
3100000.0;43.853933;56.359032;39.7;0.0;9.0;1;9;9
3400000.0;43.930447;56.323632;51.0;0.0;8.2;2;16;19
3950000.0;43.811528;56.367222;71.2;0.0;11.8;2;12;14
3100000.0;43.860271;56.216634;45.0;0.0;0.0;2;2;10
2500000.0;43.981678;56.283929;41.0;27.0;6.0;2;4;5
4100000.0;43.823988;56.24561;80.0;37.0;8.0;3;2;9
2600000.0;43.939107;56.285523;48.0;30.0;7.5;2;5;9
2190000.0;43.813998;56.357544;43.0;25.0;6.0;2;4;5
1380000.0;44.083718;56.278118;19.0;10.0;4.0;0;8;19
3460000.0;44.041802;56.303526;58.0;42.0;6.0;4;5;5
2950000.0;43.842969;56.237177;43.0;22.0;10.0;1;5;17
1550000.0;43.83404;56.233349;30.0;18.0;6.0;1;4;5
1104000.0;43.822062;56.230068;18.4;0.0;0.0;0;9;10
3973325.0;43.822062;56.230068;71.4;0.0;0.0;3;2;10
3350000.0;43.99931189;56.30686313;47.0;16.0;14.0;1;18;22
800000.0;43.936331;56.081286;21.0;0.0;0.0;0;1;3
3100000.0;43.939026;56.289675;58.0;0.0;0.0;3;9;9
1600000.0;43.93236;56.271426;34.0;18.0;6.0;1;4;4
5219000.0;44.027232;56.315386;53.5;30.5;11.1;2;6;10
3050000.0;43.934696;56.323403;61.0;45.0;7.2;3;2;9
2100000.0;43.870485;56.236796;41.0;25.0;6.0;2;5;5
2999000.0;43.860989;56.29033;62.0;45.0;9.0;4;1;5
2800000.0;43.845278;56.236651;40.0;21.0;10.0;1;8;17
3900000.0;43.866774;56.340171;86.0;62.0;9.0;4;5;5
2150000.0;43.828758;56.238342;31.0;16.0;7.0;1;8;10
3400000.0;43.928219;56.332411;67.2;38.4;9.5;3;2;10
3600000.0;43.962041;56.23511;58.8;37.8;8.7;3;3;9
2400000.0;43.860711;56.256238;46.0;32.0;6.5;2;4;5
3840650.0;43.94530964;56.30752544;55.5;31.5;7.8;2;10;24
1950000.0;43.839286;56.336403;33.0;17.0;6.0;1;3;9
3400000.0;44.02906405;56.31280582;59.21;20.8;12.22;1;18;18
2700000.0;43.866792;56.232133;57.0;42.0;6.0;3;5;5
2390000.0;43.924042;56.303591;58.0;32.0;9.0;2;2;19
2900000.0;43.880195;56.301219;61.3;46.0;7.5;3;7;10
850000.0;43.831372;56.231388;18.3;0.0;0.0;1;4;5
2150000.0;43.924285;56.325644;32.8;0.0;0.0;1;7;9
1400000.0;43.987921;56.251052;22.0;22.0;0.0;0;1;9
3700000.0;44.00401;56.310013;44.0;28.0;6.0;2;2;9
2050000.0;43.811932;56.367078;44.3;0.0;11.0;1;4;14
1215200.0;43.80145294;56.36201185;18.7;11.5;0.0;0;10;17
4400000.0;43.945575;56.232794;70.0;43.0;9.5;3;5;9
2950000.0;43.827886;56.224102;49.0;29.0;8.0;2;5;9
3250000.0;44.075103;56.286033;49.0;25.0;10.0;2;10;19
4341930.0;43.94623626;56.30902238;71.0;40.2;9.9;3;4;24
1880000.0;43.804045;56.366754;42.5;16.6;11.0;1;12;12
4790000.0;44.040778;56.287167;57.8;33.2;10.8;2;17;18
2750000.0;44.070548;56.283884;39.1;17.3;8.1;1;3;17
1700000.0;44.005986;56.326887;31.2;14.5;8.2;1;1;3
3300000.0;44.066739;56.302468;44.5;19.3;9.5;1;4;10
1450000.0;43.966919;56.239393;18.0;0.0;0.0;0;2;5
2750000.0;44.044955;56.304765;37.0;18.7;10.7;1;8;12
3350000.0;43.939655;56.324326;53.0;0.0;0.0;2;3;9
3046400.0;43.80145294;56.36201185;53.1;31.4;8.9;2;13;17
1650000.0;43.850587;56.328564;35.0;18.0;9.0;1;1;5
8200000.0;44.013838;56.32786;83.0;0.0;0.0;4;4;5
3000000.0;43.876575;56.266717;55.0;0.0;0.0;3;2;4
2900000.0;44.082235;56.282016;43.0;18.0;10.0;1;5;5
15000000.0;43.997174;56.320922;138.2;0.0;21.0;4;4;4
